class,cbo,wmc,rfc,lcom,loc
org.springframework.context.event.PayloadApplicationEventTests,13,5,22,10,77
org.springframework.scripting.config.LangNamespaceHandler,4,2,2,1,11
org.springframework.web.servlet.resource.ResourceUrlEncodingFilter,13,3,2,0,93
org.springframework.messaging.rsocket.RSocketClientToServerIntegrationTests,18,14,45,0,153
org.springframework.context.index.sample.SampleService,1,0,0,0,2
org.springframework.beans.factory.xml.DummyDao,0,0,0,0,2
org.springframework.cache.config.CacheAdviceNamespaceTests,5,2,4,1,9
org.springframework.web.socket.messaging.DefaultSimpUserRegistryTests,14,9,26,21,105
org.springframework.scheduling.quartz.CronTriggerFactoryBeanTests,3,1,7,0,10
org.springframework.web.reactive.result.method.annotation.HttpEntityMethodArgumentResolverTests,22,25,55,258,147
org.springframework.web.socket.config.WebSocketMessageBrokerStatsTests,6,5,12,0,33
org.springframework.jdbc.datasource.DataSourceUtils,12,64,44,85,256
org.springframework.web.testfixture.http.server.reactive.bootstrap.AbstractHttpServer,6,29,21,99,106
org.springframework.mock.web.MockHttpServletResponse,14,123,91,2342,486
org.springframework.context.index.processor.PropertiesMarshallerTests,6,3,14,3,26
org.springframework.orm.jpa.persistenceunit.MutablePersistenceUnitInfo,6,39,5,618,135
org.springframework.http.HttpEntityTests,7,6,13,15,74
org.springframework.util.ConcurrentLruCache,3,17,18,0,91
org.springframework.test.web.servlet.setup.ConditionalDelegatingFilterProxyTests,11,35,14,575,153
org.springframework.context.testfixture.beans.BeanThatListens,4,7,2,2,25
org.springframework.messaging.MessageDeliveryException,2,5,0,10,17
org.springframework.jdbc.datasource.SimpleDriverDataSource,3,9,12,0,38
org.springframework.transaction.annotation.AnnotationTransactionNamespaceHandlerTests,10,7,23,0,65
org.springframework.web.reactive.result.method.annotation.PrincipalMethodArgumentResolver,7,4,8,3,13
org.springframework.test.web.reactive.server.samples.Person,4,10,4,9,30
org.springframework.messaging.handler.annotation.reactive.DestinationVariableMethodArgumentResolver,11,7,8,10,27
org.springframework.core.convert.support.ArrayToArrayConverter,7,7,7,0,24
org.springframework.http.HttpHeaders,14,198,153,8101,702
org.springframework.ui.ModelMapTests,7,25,28,300,188
org.springframework.oxm.jaxb.XmlRegObjectFactory,4,1,0,0,5
org.springframework.test.context.junit.jupiter.comics.Person,0,1,0,0,5
org.springframework.test.web.reactive.server.samples.bind.WebFilterTests,4,1,17,0,12
org.springframework.validation.BindingResultUtils,3,5,3,1,18
org.springframework.util.PatternMatchUtilsTests,2,9,5,36,62
org.springframework.web.servlet.view.xslt.XsltViewTests,11,18,42,123,110
org.springframework.beans.propertyeditors.CustomBooleanEditor,1,25,7,0,53
org.springframework.transaction.interceptor.MatchAlwaysTransactionAttributeSource,5,9,6,0,27
org.springframework.jdbc.core.SingleColumnRowMapper,7,21,22,0,70
org.springframework.aop.aspectj.annotation.SimpleMetadataAwareAspectInstanceFactory,4,4,1,4,16
org.springframework.jms.listener.adapter.MessageListenerAdapterTests,27,19,47,123,255
org.springframework.web.servlet.config.annotation.DefaultServletHandlerConfigurerTests,9,4,12,0,42
org.springframework.transaction.support.TransactionSynchronizationAdapter,2,8,0,28,19
org.springframework.web.server.handler.ExceptionHandlingWebHandlerTests,13,6,15,0,56
org.springframework.test.context.junit4.rules.BasicAnnotationConfigWacSpringRuleTests,7,0,0,0,4
org.springframework.web.util.pattern.PathPatternParser,4,7,1,15,41
org.springframework.beans.factory.support.ReplaceOverride,3,14,16,0,49
org.springframework.scheduling.concurrent.ScheduledExecutorFactoryBeanTests,6,13,27,66,136
org.springframework.test.web.reactive.server.ApplicationContextSpec,4,2,2,0,10
org.springframework.jdbc.datasource.init.ResourceDatabasePopulatorUnitTests,3,10,10,33,49
org.springframework.context.support.PropertyResourceConfigurerIntegrationTests,10,9,24,28,91
org.springframework.core.annotation.TypeMappedAnnotationTests,31,14,32,55,117
org.springframework.web.jsf.MockFacesContext,9,21,0,204,62
org.springframework.test.web.servlet.result.StatusResultMatchers,6,80,10,3160,243
org.springframework.core.convert.converter.ConvertingComparator,8,6,4,0,40
org.springframework.beans.factory.parsing.NullSourceExtractor,3,1,0,0,5
org.springframework.context.groovy.GroovyBeanDefinitionReaderTests,20,37,44,666,294
org.springframework.aot.test.generator.file.SourceFileAssertTests,5,11,11,0,39
org.springframework.jdbc.InvalidResultSetAccessException,2,4,2,0,17
org.springframework.jdbc.datasource.init.ScriptParseException,4,4,2,3,11
org.springframework.web.servlet.mvc.method.annotation.PrincipalMethodArgumentResolverTests,9,6,10,5,35
org.springframework.web.servlet.tags.UrlTag,12,42,41,23,159
org.springframework.util.concurrent.ListenableFutureAdapter,8,3,3,3,35
org.springframework.web.socket.TomcatWebSocketTestServer,14,13,42,0,74
org.springframework.jms.config.SimpleJmsListenerEndpointTests,5,1,4,0,9
org.springframework.beans.factory.parsing.ReaderContext,13,21,12,158,75
org.springframework.web.jsf.DecoratingNavigationHandler,4,9,3,3,27
org.springframework.web.reactive.result.method.annotation.ResponseBodyResultHandlerTests,20,6,17,3,70
org.springframework.web.servlet.config.annotation.ViewControllerRegistryTests,11,10,32,0,78
org.springframework.web.util.UrlPathHelperTests,5,41,34,0,283
org.springframework.mail.SimpleMailMessageTests,2,6,29,15,102
org.springframework.web.socket.config.MessageBrokerBeanDefinitionParserTests,66,14,104,0,261
org.springframework.web.servlet.mvc.condition.ProducesRequestConditionTests,9,54,24,325,208
example.scannable_implicitbasepackage.ComponentScanAnnotatedConfigWithImplicitBasePackage,4,1,0,0,5
org.springframework.expression.spel.testresources.Fruit,0,8,1,5,26
org.springframework.http.client.reactive.HttpComponentsHeadersAdapter,7,28,30,28,127
org.springframework.web.reactive.result.method.annotation.SessionAttributesHandlerTests,7,4,16,0,46
org.springframework.beans.factory.parsing.CustomProblemReporterTests,8,2,9,0,33
org.springframework.util.xml.StaxEventXMLReader,8,73,86,89,240
org.springframework.web.reactive.function.server.DefaultServerRequestBuilderTests,5,1,30,0,18
org.springframework.messaging.support.ExecutorSubscribableChannelTests,15,12,32,0,146
org.springframework.beans.factory.config.NoOpScope,2,5,0,10,16
org.springframework.web.bind.ServletRequestDataBinderTests,9,18,26,78,171
org.springframework.cache.transaction.AbstractTransactionSupportingCacheManager,4,4,1,1,12
org.springframework.context.index.sample.type.SampleSmartRepo,3,0,0,0,2
org.springframework.scheduling.quartz.JobDetailFactoryBean,10,21,12,94,82
org.springframework.jndi.JndiObjectTargetSource,4,17,4,1,58
org.springframework.web.servlet.resource.ResourceUrlProvider,16,34,45,61,127
org.springframework.context.annotation.ImportAwareTests,28,9,17,36,194
org.springframework.beans.factory.BeanInitializationException,1,2,0,1,8
org.springframework.web.reactive.DispatcherHandlerTests,11,3,27,3,59
org.springframework.test.context.junit.jupiter.nested.TestConstructorNestedTests,4,2,2,1,63
org.springframework.beans.factory.support.MethodOverride,3,11,3,12,39
org.springframework.context.annotation.configuration.BeanAnnotationAttributePropagationTests,7,12,15,66,97
org.springframework.test.web.client.match.XpathRequestMatchersTests,4,15,15,0,50
org.springframework.core.env.CommandLineArgs,1,8,7,1,27
